docking_folder,PLANTS,rDock,smina,SMILES,pic50
5sdu_123,-111.75,-85.0819,-10.41106,COc1c(Cl)ccc2nc(CCc3nc(-c4ccccc4)cn3C)[nH]c(=O)c12,7.480408242689392
5sdu_142,-108.957,-71.5014,-9.88228,Cc1oc(-c2ccccc2)nc1CCc1cccc(N2CCCC2)n1,5.696885191335948
5sdu_245,-92.3679,-81.9825,-9.88559,COc1c(C)cnc(/C=C/c2nc(-c3ccccc3)cn2C)c1C,6.0054158405195714
5sdu_361,-98.1654,-75.7812,-9.14867,Cn1cc(-c2ccccc2)nc1CCc1ncoc1-c1ccccc1,5.999272731729044
5sdv_1106,-66.5347,-65.2118,-8.10922,Cc1oc(C2CC2)nc1CNC(=O)c1cnn(C)c1C(=O)Nc1ccn2cc(-c3ccccc3)nc2n1,6.1101836133927385
5sdw_195,-98.5971,-72.1343,-10.07657,CN(C)C(=O)c1cnn(C)c1C(=O)Nc1ccc2[nH]c(-c3ccccc3)nc2c1,9.438467849880965
5sdw_256,-98.9554,-81.2729,-8.74493,CCn1nc(C)cc1C(=O)Nc1cc2nc(-c3ccccc3)[nH]c2cc1C(=O)NCCOC,7.8422713162885485
5sdw_307,-105.227,-68.7178,-11.10338,O=C1c2ccccc2CN1c1ccc2nc(-c3ccccc3)[nH]c2c1,6.429472237340998
5sdw_358,-104.26,-79.1321,-10.10459,CNC(=O)c1cc2[nH]c(-c3ccccc3)nc2cc1NC(=O)c1c(Cl)c(C)nn1C,7.6625407387093425
5sdw_369,-100.063,-76.4313,-9.6548,CCn1nc(C)cc1C(=O)Nc1cc2nc(-c3ccccc3)[nH]c2cc1C(=O)NC,7.655038211210317
5sdw_391,-101.879,-72.3931,-9.87821,CNC(=O)c1cc2[nH]c(-c3ccccc3)nc2cc1NC(=O)c1cc(C)n(C)n1,6.705282528907662
5sdw_430,-99.0125,-74.2513,-9.67612,CNC(=O)c1cc2[nH]c(-c3ccccc3)nc2cc1NC(=O)c1cc(C)n[nH]1,6.448618323386773
5sdw_439,-88.6745,-80.3619,-10.04511,CNC(=O)c1cc2[nH]c(-c3ccccc3)nc2cc1NC(=O)c1c(C(=O)N2CCC2)cnn1C,7.159392120990709
5sdw_452,-99.5267,-72.6842,-9.62428,CNC(=O)c1cc2[nH]c(-c3ccccc3)nc2cc1NC(=O)c1ccnn1C,7.848293142977423
5sdw_453,-83.7205,-74.8267,-9.96079,CNC(=O)c1cc2[nH]c(-c3ccccc3)nc2cc1NC(=O)c1c(C(=O)N2CCOCC2)cnn1C,6.708369230851001
